"211202_kinetic_519, 00 Fc=4 - 1_X"	"211202_kinetic_519, 00 Fc=4 - 1_Y"	"211202_kinetic_519, 00 Fc=4 - 2_X"	"211202_kinetic_519, 00 Fc=4 - 2_Y"	"211202_kinetic_519, 00 Fc=4 - 3_X"	"211202_kinetic_519, 00 Fc=4 - 3_Y"	"211202_kinetic_519, 00 Fc=4 - 4_X"	"211202_kinetic_519, 00 Fc=4 - 4_Y"	"211202_kinetic_519, 00 Fc=4 - 5_X"	"211202_kinetic_519, 00 Fc=4 - 5_Y"	"211202_kinetic_519, 00 Fc=4 - 6_X"	"211202_kinetic_519, 00 Fc=4 - 6_Y"
168.8	47.4141	168.8	27.5195	168.8	16.418	168.8	14.9414	168.8	11.9531	168.8	12.0938
169.8	48.2656	169.8	27.0078	169.8	15.5938	169.8	17.0273	169.8	12.7383	169.8	13.3398
170.8	47.8125	170.8	26.7539	170.8	16.1719	170.8	16.0195	170.8	11.6914	170.8	11.5117
171.8	48.8164	171.8	26.7305	171.8	15.6445	171.8	14.8359	171.8	12.3047	171.8	12.707
172.8	48.6172	172.8	26.8594	172.8	14.668	172.8	14.8359	172.8	12.2617	172.8	11.9766
173.8	47.0977	173.8	27.6367	173.8	14.5508	173.8	15.0156	173.8	12.5586	173.8	12.3867
174.8	45.2148	174.8	26.1211	174.8	14.8828	174.8	14.3594	174.8	13.2031	174.8	11.9609
175.8	48.0117	175.8	26.3242	175.8	16.5273	175.8	13.7344	175.8	10.6797	175.8	12.7109
176.8	46.6719	176.8	26.0078	176.8	15.3047	176.8	15.6406	176.8	10.4531	176.8	11.8242
177.8	46.8594	177.8	24.7539	177.8	14.0508	177.8	13.9414	177.8	10.9414	177.8	10.8711
178.8	45.7344	178.8	25.2813	178.8	15.125	178.8	14.7383	178.8	11.6367	178.8	11.0625
179.8	45.6055	179.8	28.1211	179.8	14.7773	179.8	14.0117	179.8	11.2188	179.8	9.86328
180.8	45.4258	180.8	25.7266	180.8	15.4414	180.8	14.543	180.8	9.75	180.8	10.3359
181.8	44.9961	181.8	25.0859	181.8	15.0234	181.8	13.1445	181.8	10.6133	181.8	10.2266
182.8	45.2109	182.8	25.9805	182.8	14.8711	182.8	14.0156	182.8	11.0313	182.8	9.62891
183.8	45.4961	183.8	26.1094	183.8	12.2617	183.8	14.0195	183.8	10.0195	183.8	10.0547
184.8	43.1094	184.8	25.5781	184.8	13.3125	184.8	14.1406	184.8	10.6484	184.8	9.54297
185.8	43.8984	185.8	25.3281	185.8	14.1797	185.8	13.4844	185.8	12.0547	185.8	10.9648
186.8	43.7969	186.8	24.957	186.8	14.2617	186.8	13.2578	186.8	11.5781	186.8	10.0352
187.8	43.793	187.8	24.4727	187.8	13.8125	187.8	13.3281	187.8	9.08203	187.8	10.1094
188.8	44.9258	188.8	24.1602	188.8	13.4375	188.8	12.75	188.8	10.7031	188.8	8.89063
189.8	44.3945	189.8	24.25	189.8	13.6836	189.8	12.9805	189.8	9.12109	189.8	8.13281
190.8	44.8516	190.8	23.8984	190.8	13.8867	190.8	14.168	190.8	10.7109	190.8	9.02344
191.8	44.0586	191.8	24.2305	191.8	14.5117	191.8	12.6211	191.8	9.8125	191.8	8.84766
192.8	43.0547	192.8	23.4414	192.8	12.7695	192.8	11.4961	192.8	9.32031	192.8	7.96094
193.8	43.5508	193.8	23.6797	193.8	13.2227	193.8	14.5508	193.8	9.75	193.8	8.85938
194.8	42.4414	194.8	23.8203	194.8	13.6914	194.8	13.0859	194.8	9.5625	194.8	9.26953
195.8	42.0039	195.8	23.3281	195.8	13.8789	195.8	11.2695	195.8	9.86719	195.8	8.22656
196.8	43.3945	196.8	26.2031	196.8	13.0039	196.8	14.0469	196.8	8.14063	196.8	9.33984
197.8	40.5039	197.8	24.3086	197.8	13.0547	197.8	10.4375	197.8	9.38672	197.8	8.86328
198.8	40.7891	198.8	22.5391	198.8	12.6914	198.8	12.9375	198.8	10.0664	198.8	8.23438
199.8	41.9492	199.8	24.0391	199.8	13.6914	199.8	14.2148	199.8	8.20703	199.8	7.67969
200.8	42.668	200.8	23.5273	200.8	13.3086	200.8	12.7695	200.8	8.65625	200.8	7.53906
201.8	42.4141	201.8	21.9766	201.8	10.9219	201.8	11.8633	201.8	7.63672	201.8	8.70313
202.8	42.5234	202.8	23.707	202.8	12.1055	202.8	12.3164	202.8	10.0625	202.8	8.51563
203.8	41.1875	203.8	22.7891	203.8	13.9609	203.8	13.0625	203.8	9.23828	203.8	8.94922
204.8	41.2578	204.8	22.8906	204.8	12.1133	204.8	12.793	204.8	6.84766	204.8	8.73828
205.8	41.6211	205.8	21.9063	205.8	11.8125	205.8	13.1758	205.8	8.12109	205.8	9.22266
206.8	40.5156	206.8	21.418	206.8	10.6133	206.8	12.0586	206.8	9.47656	206.8	7.10938
207.8	40.0273	207.8	21.8359	207.8	13.5234	207.8	10.293	207.8	8.3125	207.8	9.10547
208.8	41.1406	208.8	22.3281	208.8	12.3086	208.8	11.0625	208.8	9.39844	208.8	8.01953
209.8	40.1094	209.8	24.2578	209.8	13.293	209.8	10.7617	209.8	8.23438	209.8	8.50391
210.8	39.8125	210.8	22.207	210.8	12.2422	210.8	11.5117	210.8	8.1875	210.8	8.75
211.8	38.6367	211.8	22.5234	211.8	11.2617	211.8	11.625	211.8	7.33594	211.8	6.55469
212.8	38.6797	212.8	20.8438	212.8	12.2734	212.8	9.95313	212.8	7.87891	212.8	7.60156
213.8	37.9648	213.8	21.5078	213.8	10.1328	213.8	10.9531	213.8	7.58203	213.8	7.22266
