X	Y	X	Y	X	Y	X	Y	X	Y
1.0990000E2	6.5006696E0	1.1029000E2	8.0615211E1	1.0965000E2	1.2775843E1	1.9096230E2	5.5936265E0	1.0949474E2	9.1852838E0
1.1090000E2	6.0209910E0	1.1129000E2	8.0672459E1	1.1065000E2	1.2911510E1	1.9196230E2	5.3947519E0	1.1049474E2	9.9102526E0
1.1190000E2	6.0209910E0	1.1229000E2	8.0732392E1	1.1165000E2	1.2911510E1	1.9296230E2	4.5849416E0	1.1149474E2	9.9102526E0
1.1290000E2	6.0820410E0	1.1329000E2	8.2921843E1	1.1265000E2	1.2886072E1	1.9396230E2	4.8291416E0	1.1249474E2	1.0409753E1
1.1390000E2	7.2701845E0	1.1429000E2	8.3965693E1	1.1365000E2	1.3674635E1	1.9496230E2	5.8975166E0	1.1349474E2	1.0404906E1
1.1490000E2	7.6693410E0	1.1529000E2	8.5118123E1	1.1465000E2	1.3674635E1	1.9596230E2	5.6261833E0	1.1449474E2	1.0520753E1
1.1590000E2	7.5002795E0	1.1629000E2	8.5848068E1	1.1565000E2	1.3646037E1	1.9696230E2	5.7032666E0	1.1549474E2	1.1413022E1
1.1690000E2	6.6314910E0	1.1729000E2	8.6082876E1	1.1665000E2	1.3852697E1	1.9796230E2	5.3633291E0	1.1649474E2	1.1970690E1
1.1790000E2	6.7332410E0	1.1829000E2	8.6317684E1	1.1765000E2	1.4628541E1	1.9896230E2	5.0306849E0	1.1749474E2	1.3184422E1
1.1890000E2	6.8931339E0	1.1929000E2	8.7526943E1	1.1865000E2	1.4673546E1	1.9996230E2	5.1629040E0	1.1849474E2	1.2668808E1
1.1990000E2	7.5472410E0	1.2029000E2	8.8614886E1	1.1965000E2	1.4718551E1	2.0096230E2	5.2870166E0	1.1949474E2	1.2788324E1
1.2090000E2	9.0734910E0	1.2129000E2	8.9266868E1	1.2065000E2	1.4955315E1	2.0196230E2	5.0682480E0	1.2049474E2	1.2875538E1
1.2190000E2	9.0734910E0	1.2229000E2	9.0127383E1	1.2165000E2	1.4854010E1	2.0296230E2	4.7528291E0	1.2149474E2	1.2504878E1
1.2290000E2	9.1204525E0	1.2329000E2	9.0987897E1	1.2265000E2	1.4678260E1	2.0396230E2	4.9054541E0	1.2249474E2	1.2183974E1
